id_mov,data,tipo,valor,produto,canal,cliente_id
M0158,2025/07/14,Captacao,41683.43,Acoes Brasil,Assessor,C030
M0159,26/04/2025,Captacao,12129.33,FUNDO DI,app,C040
M0160,2025/02/10,resgate,"74766,37",Acoes Brasil,Assessor,C032
M0161,2025/05/08,CAPTAÇÃO,40292.25,RF Credito,ASSESSOR,C030
M0162,2025/05/30,CAPTAÇÃO,"4843,99",Fundo Multimercado,ASSESSOR,C031
M0163,2025-01-03,resg,"35043,29",TESOURO SELIC,Parceiro,C026
M0164,2025-04-13,Captacao,"R$ 46.052,25",Tesouro Selic,ASSESSOR,C019
M0165,10-05-2025,Resgate,"61387,93",Fundo_DI,ASSESSOR,C008
M0166,2025/04/11,Resgate,"63796,88",Fundo Multimercado,Parceiro,C010
M0167,11-05-2025,captacao,40506.15,Fundo Multi,Assessor,C022
M0168,27/04/2025,resgate,48894.58,AcoesBrasil,Parceiro,C040
M0169,2025/04/11,Resgate,47904.25,Tesouro Selic,ASSESSOR,C032
M0170,2025-05-02,CAPTAÇÃO,30100.27,RF Credito,ASSESSOR,C020
M0171,09/03/2025,CAPTAÇÃO,57990.61,Fundo_DI,Assessor,C034
M0172,07/02/2025,resgate,3494.07,RF Credito,App,C029
M0173,08-02-2025,Resgate,55549,Tesouro Selic ,ASSESSOR,C031
M0174,13/05/2025,Resgate,45310,fundo di,app,C021
M0175,2025/05/17,Resgate,"44155,58",Multimercado,app,C013
M0176,2025/05/23,Captacao,"18764,50",Multimercado,Assessor,C032
M0177,2025/03/31,resg,23735.36,Tesouro Selic ,ASSESSOR,C025
M0178,17/07/2025,resg,"23945,76",Ações Brasil,App,C023
M0179,07-03-2025,Captacao,17904.96,AcoesBrasil,ASSESSOR,C018
M0180,07/06/2025,resgate,20154.19,Fundo Multimercado,Assessor,C004
M0011,26/04/2025,Resgate,60287.63,FUNDO DI,app,C022
M0011,26/04/2025,Resgate,60287.63,FUNDO DI,app,C022
M0026,03/03/2025,captacao,"R$ 44.607,39",fundo di,app,C029
